ID,电影名称,评分,信息,短评,url
108,第六感,8.9,导演: M·奈特·沙马兰 M. Night Shyamalan主演: 布鲁斯·威利斯 Bruce Wi...                            1999美国剧情 悬疑 惊悚,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
109,蝙蝠侠：黑暗骑士崛起,8.8,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 克里斯蒂安·贝尔 Christ...                            2012美国 英国剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。,https://movie.douban.com/subject/3395373/
110,重庆森林,8.8,导演: 王家卫 Kar Wai Wong主演: 林青霞 Brigitte Lin  金城武 Takeshi K...                            1994中国香港剧情 爱情,寂寞没有期限。,https://movie.douban.com/subject/1291999/
111,幽灵公主,8.9,导演: 宫崎骏 Hayao Miyazaki主演: 松田洋治 Yôji Matsuda  石田百合...                            1997日本动画 奇幻 冒险,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
112,超能陆战队,8.7,导演: 唐·霍尔 Don Hall  克里斯·威廉姆斯 Chris Williams主演: 斯科特...                            2014美国喜剧 动作 科幻 动画 冒险,Balalala~~~,https://movie.douban.com/subject/11026735/
113,爱在日落黄昏时,8.9,导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ...                            2004美国 法国剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
114,菊次郎的夏天,8.9,导演: 北野武 Takeshi Kitano主演: 北野武 Takeshi Kitano  关口雄介 Yus...                            1999日本剧情 喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
115,甜蜜蜜,8.9,导演: 陈可辛 Peter Chan主演: 黎明 Leon Lai  张曼玉 Maggie Cheung  ...                            1996中国香港剧情 爱情,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
116,天使爱美丽,8.7,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet主演: 奥黛丽·塔图 Audrey Tau...                            2001法国 德国剧情 喜剧 爱情,法式小清新。,https://movie.douban.com/subject/1292215/
117,阳光灿烂的日子,8.9,导演: 姜文 Wen Jiang主演: 夏雨 Yu Xia  宁静 Jing Ning  陶虹 Hong Tao                            1994中国大陆 中国香港剧情 爱情,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
118,小森林 夏秋篇,9.0,导演: 森淳一 Junichi Mori主演: 桥本爱 Ai Hashimoto  三浦贵大 Takahir...                            2014日本剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
119,借东西的小人阿莉埃蒂,8.9,导演: 米林宏昌 Hiromasa Yonebayashi主演: 志田未来 Mirai Shida  神木...                            2010日本动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
120,完美的世界,9.1,导演: 克林特·伊斯特伍德 Clint Eastwood主演: 凯文·科斯特纳 Kevin Cos...                            1993美国剧情 犯罪,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
121,无人知晓,9.1,导演: 是枝裕和 Hirokazu Koreeda主演: 柳乐优弥 Yûya Yagira  北浦爱...                            2004日本剧情,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
122,消失的爱人,8.7,导演: 大卫·芬奇 David Fincher主演: 本·阿弗莱克 Ben Affleck  罗莎蒙...                            2014美国剧情 犯罪 悬疑 惊悚,年度最佳date movie。,https://movie.douban.com/subject/21318488/
123,倩女幽魂,8.8,导演: 程小东 Siu-Tung Ching主演: 张国荣 Leslie Cheung  王祖贤 Joey W...                            1987中国香港爱情 奇幻 武侠 古装,两张绝世的脸。,https://movie.douban.com/subject/1297447/
124,寄生虫,8.8,导演: 奉俊昊 Joon-ho Bong主演: 宋康昊 Kang-ho Song  李善均 Seon-gyun...                            2019韩国剧情,,https://movie.douban.com/subject/27010768/
125,时空恋旅人,8.8,导演: 理查德·柯蒂斯 Richard Curtis主演: 多姆纳尔·格里森 Domhnall Gl...                            2013英国喜剧 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
126,侧耳倾听,8.9,导演: 近藤喜文 Yoshifumi Kondo主演: 本名阳子 Youko Honna  小林桂树 K...                            1995日本剧情 爱情 动画,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
127,小森林 冬春篇,9.0,导演: 森淳一 Junichi Mori主演: 桥本爱 Ai Hashimoto  三浦贵大 Takahir...                            2015日本剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
128,幸福终点站,8.8,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 汤姆·汉克斯 Tom Hanks...                            2004美国喜剧 剧情 爱情,有时候幸福需要等一等。,https://movie.douban.com/subject/1292274/
129,驯龙高手,8.8,导演: 迪恩·德布洛斯 Dean DeBlois  克里斯·桑德斯 Chris Sanders主演:...                            2010美国动画 奇幻 冒险,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
130,教父3,9.0,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 阿尔·帕西诺 A...                            1990美国剧情 犯罪,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
131,一个叫欧维的男人决定去死,8.9,导演: 汉内斯·赫尔姆 Hannes Holm主演: 罗夫·拉斯加德 Rolf Lassgård...                            2015瑞典剧情,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
132,未麻的部屋,9.1,导演: 今敏 Satoshi Kon主演: 岩男润子 Junko Iwao  松本梨香 Rica Matsu...                            1997日本动画 奇幻 惊悚,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
133,萤火之森,8.9,导演: 大森贵弘 Takahiro Omori主演: 佐仓绫音 Ayane Sakura  内山昂辉 K...                            2011日本剧情 爱情 动画 奇幻,触不到的恋人。,https://movie.douban.com/subject/5989818/
134,怪兽电力公司,8.8,导演: 彼特·道格特 Pete Docter  大卫·斯沃曼 David Silverman主演: 约...                            2001美国儿童 喜剧 动画 奇幻 冒险,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
135,哈利·波特与火焰杯,8.8,导演: 迈克·内威尔 Mike Newell主演: 丹尼尔·雷德克里夫 Daniel Radclif...                            2005英国 美国悬疑 奇幻 冒险,,https://movie.douban.com/subject/1309055/
136,傲慢与偏见,8.7,导演: 乔·怀特 Joe Wright主演: 凯拉·奈特莉 Keira Knightley  马修·...                            2005法国 英国 美国剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
137,玩具总动员3,8.9,导演: 李·昂克里奇 Lee Unkrich主演: 汤姆·汉克斯 Tom Hanks  蒂姆·艾...                            2010美国喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
138,新世界,8.9,导演: 朴勋政 Hoon-jung Park主演: 李政宰 Jung-Jae Lee  崔岷植 Min-sik...                            2013韩国剧情 犯罪,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
139,釜山行,8.6,导演: 延尚昊 Sang-ho Yeon主演: 孔侑 Yoo Gong  郑有美 Yu-mi Jung  马...                            2016韩国动作 惊悚 灾难,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/
140,神偷奶爸,8.7,导演: 皮艾尔·柯芬 Pierre Coffin  克里斯·雷纳德 Chris Renaud主演: ...                            2010美国 法国喜剧 动画 冒险,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
141,被解救的姜戈,8.8,导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 杰米·福克斯 Jamie Foxx ...                            2012美国剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
142,玛丽和马克思,9.0,导演: 亚当·艾略特 Adam Elliot主演: 托妮·科莱特 Toni Collette  菲利...                            2009澳大利亚 美国剧情 喜剧 动画,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
143,告白,8.8,导演: 中岛哲也 Tetsuya Nakashima主演: 松隆子 Takako Matsu  冈田将生 ...                            2010日本剧情 悬疑,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
144,大鱼,8.8,导演: 蒂姆·波顿 Tim Burton主演: 伊万·麦克格雷格 Ewan McGregor  阿...                            2003美国剧情 家庭 奇幻 冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
145,哪吒闹海,9.2,导演: 王树忱 Shuchen Wang  严定宪 Dingxian Yan主演: 梁正晖 Zhenghui ...                            1979中国大陆冒险 动画 奇幻,想你时你在闹海。,https://movie.douban.com/subject/1307315/
146,射雕英雄传之东成西就,8.7,导演: 刘镇伟 Jeffrey Lau主演: 梁朝伟 Tony Leung Chiu Wai  林青霞 Bri...                            1993中国香港喜剧 奇幻 武侠 古装,百看不厌。,https://movie.douban.com/subject/1316510/
147,喜宴,9.0,导演: 李安 Ang Lee主演: 赵文瑄 Winston Chao  归亚蕾 Ya-lei Kuei  郎...                            1993中国台湾 美国剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
148,头号玩家,8.7,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 泰伊·谢里丹 Tye Sheri...                            2018美国动作 科幻 冒险,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/
149,模仿游戏,8.8,导演: 莫滕·泰杜姆 Morten Tyldum主演: 本尼迪克特·康伯巴奇 Benedict C...                            2014英国 美国剧情 传记 战争 同性,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
150,阳光姐妹淘,8.8,导演: 姜炯哲 Hyeong-Cheol Kang主演: 沈恩京 Eun-kyung Shim  闵孝琳 Hy...                            2011韩国剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。,https://movie.douban.com/subject/4917726/
151,茶馆,9.6,导演: 谢添 Tian Xie主演: 于是之 Shizhi Yu  郑榕 Rong Zhen  蓝天野 T...                            1982(中国大陆)中国大陆剧情 历史,,https://movie.douban.com/subject/1461403/
152,我是山姆,9.0,导演: 杰茜·尼尔森 Jessie Nelson主演: Sean Penn  Dakota Fanning  Mi...                            2001美国剧情 家庭,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
153,九品芝麻官,8.7,导演: 王晶 Jing Wong主演: 周星驰 Stephen Chow  吴孟达 Man Tat Ng  ...                            1994中国香港 中国大陆剧情 喜剧 古装,,https://movie.douban.com/subject/1297518/
154,花样年华,8.7,导演: 王家卫 Kar Wai Wong主演: 梁朝伟 Tony Leung Chiu Wai  张曼玉 Ma...                            2000中国香港剧情 爱情,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
155,血战钢锯岭,8.7,导演: 梅尔·吉布森 Mel Gibson主演: 安德鲁·加菲尔德 Andrew Garfield ...                            2016澳大利亚 美国剧情 传记 历史 战争,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
156,恐怖直播,8.7,导演: 金秉祐 Byeong-woo Kim主演: 河正宇 Jung-woo Ha  李璟荣 Kyeong-y...                            2013韩国剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
157,色，戒,8.7,导演: 李安 Ang Lee主演: 梁朝伟 Tony Leung Chiu Wai  汤唯 Wei Tang  ...                            2007中国台湾 中国大陆 美国 中国香港剧情 爱情 情色,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
158,七武士,9.3,导演: 黑泽明 Akira Kurosawa主演: 三船敏郎 Toshirô Mifune  志村乔 ...                            1954日本动作 冒险 剧情,时代悲歌。,https://movie.douban.com/subject/1295399/
159,头脑特工队,8.8,导演: 彼特·道格特 Pete Docter  罗纳尔多·德尔·卡门 Ronaldo Del Carmen&nb...                            2015美国喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
160,惊魂记,9.0,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock主演: 安东尼·博金斯 Antho...                            1960美国悬疑 惊悚 恐怖,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
161,黑客帝国3：矩阵革命,8.8,导演: 拉娜·沃卓斯基 Lana Wachowski  莉莉·沃卓斯基 Lilly Wachowski...                            2003美国动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
162,你的名字。,8.5,导演: 新海诚 Makoto Shinkai主演: 神木隆之介 Ryûnosuke Kamiki  上...                            2016日本剧情 爱情 动画,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
163,电锯惊魂,8.8,导演: 詹姆斯·温 James Wan主演: 雷·沃纳尔 Leigh Whannell  加利·艾...                            2004美国悬疑 惊悚 恐怖,真相就在眼前。,https://movie.douban.com/subject/1417598/
164,三块广告牌,8.7,导演: 马丁·麦克唐纳 Martin McDonagh主演: 弗兰西斯·麦克多蒙德 France...                            2017英国 美国剧情 犯罪,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
165,达拉斯买家俱乐部,8.8,导演: 让-马克·瓦雷 Jean-Marc Vallée主演: 马修·麦康纳 Matthew McCon...                            2013美国剧情 传记 同性,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
166,疯狂原始人,8.7,导演: 科克·德·米科 Kirk De Micco  克里斯·桑德斯 Chris Sanders主演...                            2013美国喜剧 动画 冒险,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
167,心迷宫,8.7,导演: 忻钰坤 Yukun Xin主演: 霍卫民 Weimin Huo  王笑天 Xiaotian Wang ...                            2014中国大陆剧情 犯罪 悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
168,谍影重重3,8.8,导演: 保罗·格林格拉斯 Paul Greengrass主演: 马特·达蒙 Matt Damon  ...                            2007美国 德国 法国 英国动作 悬疑 惊悚,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
169,上帝之城,9.0,导演: 费尔南多·梅里尔斯 Fernando Meirelles  卡迪亚·兰德 Kátia Lund&nbsp...                            2002巴西 法国犯罪 剧情,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
170,英雄本色,8.6,导演: 吴宇森 John Woo主演: 周润发 Yun-Fat Chow  狄龙 Lung Ti  张国...                            1986中国香港剧情 动作 犯罪,英雄泪短，兄弟情长。,https://movie.douban.com/subject/1297574/
171,卢旺达饭店,8.9,导演: 特瑞·乔治 Terry George主演: 唐·钱德尔 Don Cheadle  苏菲·奥...                            2004英国 南非 意大利 美国剧情 传记 历史 战争,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
172,纵横四海,8.8,导演: 吴宇森 John Woo主演: 周润发 Yun-Fat Chow  张国荣 Leslie Cheung...                            1991中国香港剧情 喜剧 动作 犯罪,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
173,风之谷,8.9,导演: 宫崎骏 Hayao Miyazaki主演: 岛本须美 Sumi Shimamoto  松田洋治 Y...                            1984日本动画 奇幻 冒险,动画片的圣经。,https://movie.douban.com/subject/1291585/
174,海街日记,8.8,导演: 是枝裕和 Hirokazu Koreeda主演: 绫濑遥 Haruka Ayase  长泽雅美 M...                            2015日本剧情 家庭,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
175,爱在午夜降临前,8.9,导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ...                            2013美国 希腊剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
176,绿里奇迹,8.9,导演: 弗兰克·德拉邦特 Frank Darabont主演: 汤姆·汉克斯 Tom Hanks  ...                            1999美国犯罪 剧情 奇幻 悬疑,天使暂时离开。,https://movie.douban.com/subject/1300374/
177,记忆碎片,8.7,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 盖·皮尔斯 Guy Pearce ...                            2000美国犯罪 剧情 悬疑 惊悚,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
178,岁月神偷,8.7,导演: 罗启锐 Alex Law主演: 吴君如 Sandra Ng  任达华 Simon Yam  钟绍...                            2010中国香港 中国大陆剧情 家庭,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
179,忠犬八公物语,9.2,导演: 神山征二郎 Seijirô Kôyama主演: 仲代达矢 Tatsuya Nakadai ...                            1987日本剧情,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
180,疯狂的石头,8.6,导演: 宁浩 Hao Ning主演: 郭涛 Tao Guo  刘桦 Hua Liu  连晋 Teddy Lin                            2006中国大陆 中国香港喜剧 犯罪,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
181,荒蛮故事,8.8,导演: 达米安·斯兹弗隆 Damián Szifron主演: 达里奥·葛兰帝内提 Darío...                            2014阿根廷 西班牙剧情 喜剧 犯罪,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
182,雨中曲,9.1,导演: 斯坦利·多南 Stanley Donen  吉恩·凯利 Gene Kelly主演: 吉恩·...                            1952美国喜剧 歌舞 爱情,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
183,小偷家族,8.7,导演: 是枝裕和 Hirokazu Koreeda主演: 中川雅也 Lily Franky  安藤樱 Sa...                            2018日本剧情 犯罪 家庭,我们组成了家。,https://movie.douban.com/subject/27622447/
184,2001太空漫游,8.9,导演: 斯坦利·库布里克 Stanley Kubrick主演: 凯尔·杜拉 Keir Dullea  ...                            1968英国 美国科幻 惊悚 冒险,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
185,小丑,8.7,导演: 托德·菲利普斯 Todd Phillips主演: 杰昆·菲尼克斯 Joaquin Phoeni...                            2019美国 加拿大剧情 犯罪 惊悚,,https://movie.douban.com/subject/27119724/
186,爆裂鼓手,8.7,导演: 达米恩·查泽雷 Damien Chazelle主演: 迈尔斯·特勒 Miles Teller ...                            2014美国剧情 音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
187,背靠背，脸对脸,9.5,导演: 黄建新 Jianxin Huang  杨亚洲 Yazhou Yang主演: 牛振华 Zhenhua N...                            1994中国大陆 中国香港剧情,,https://movie.douban.com/subject/1307856/
188,无敌破坏王,8.7,导演: 瑞奇·莫尔 Rich Moore主演: 约翰·C·赖利 John C. Reilly  萨拉...                            2012美国喜剧 动画 奇幻 冒险,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
189,无间道2,8.7,导演: 刘伟强  麦兆辉主演: 陈冠希 Edison Chen  余文乐 Shawn Yue  曾...                            2003中国香港剧情 犯罪 惊悚,,https://movie.douban.com/subject/1307106/
190,贫民窟的百万富翁,8.6,导演: 丹尼·鲍尔 Danny Boyle  洛芙琳·坦丹 Loveleen Tandan主演: 戴夫...                            2008英国剧情 爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
191,冰川时代,8.6,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha  克里斯·韦奇 Chris Wedge主演...                            2002美国喜剧 动画 冒险,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
192,心灵奇旅,8.7,导演: 彼特·道格特 Pete Docter  凯普·鲍尔斯 Kemp Powers主演: 杰米·...                            2020美国动画 奇幻 音乐,,https://movie.douban.com/subject/24733428/
193,东邪西毒,8.6,导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung  林青霞 Brigitte...                            1994中国香港 中国台湾剧情 动作 爱情 武侠 古装,电影诗。,https://movie.douban.com/subject/1292328/
194,恐怖游轮,8.5,导演: 克里斯托弗·史密斯 Christopher Smith主演: 梅利莎·乔治 Melissa ...                            2009英国 澳大利亚剧情 悬疑 惊悚,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
195,牯岭街少年杀人事件,8.9,导演: 杨德昌 Edward Yang主演: 张震 Chen Chang  杨静怡 Lisa Yang  张...                            1991中国台湾剧情 犯罪,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
196,魔女宅急便,8.7,导演: 宫崎骏 Hayao Miyazaki主演: 高山南 Minami Takayama  佐久间玲 Re...                            1989日本动画 奇幻 冒险,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
197,遗愿清单,8.7,导演: 罗伯·莱纳 Rob Reiner主演: 杰克·尼科尔森 Jack Nicholson  摩根...                            2007美国冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
198,东京教父,9.0,导演: 今敏 Satoshi Kon主演: 江守彻 Toru Emori  梅垣义明 Yoshiaki Ume...                            2003日本剧情 喜剧 动画,,https://movie.douban.com/subject/1310177/
199,你看起来好像很好吃,8.9,导演: 藤森雅也 Masaya Fujimori主演: 山口胜平 Kappei Yamaguchi  爱河...                            2010日本剧情 动画 儿童,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
200,真爱至上,8.6,导演: 理查德·柯蒂斯 Richard Curtis主演: 休·格兰特 Hugh Grant  柯林...                            2003英国 美国 法国喜剧 剧情 爱情,爱，是个动词。,https://movie.douban.com/subject/1292401/
201,大佛普拉斯,8.7,导演: 黄信尧 Hsin-yao Huang主演: 庄益增 Yizeng Zhuang  陈竹昇 Chu-sh...                            2017中国台湾剧情 喜剧,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
202,黑天鹅,8.6,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky主演: 娜塔莉·波特曼 Natalie...                            2010美国剧情 惊悚,黑暗之美。,https://movie.douban.com/subject/1978709/
203,可可西里,8.9,导演: 陆川 Chuan Lu主演: 多布杰 Duobujie  张磊 Lei Zhang  亓亮 Qi L...                            2004中国大陆 中国香港剧情 犯罪,坚硬的信仰。,https://movie.douban.com/subject/1308857/
204,城市之光,9.3,导演: Charles Chaplin主演: 查理·卓别林 Charles Chaplin  弗吉尼亚·...                            1931美国喜剧 剧情 爱情,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
205,源代码,8.5,导演: 邓肯·琼斯 Duncan Jones主演: 杰克·吉伦哈尔 Jake Gyllenhaal  ...                            2011美国 加拿大科幻 悬疑 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
206,雨人,8.7,导演: 巴瑞·莱文森 Barry Levinson主演: 达斯汀·霍夫曼 Dustin Hoffman ...                            1988美国剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
207,恋恋笔记本,8.5,导演: 尼克·卡索维茨 Nick Cassavetes主演: 瑞恩·高斯林 Ryan Gosling ...                            2004美国剧情 爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,https://movie.douban.com/subject/1309163/
208,海边的曼彻斯特,8.6,导演: 肯尼斯·罗纳根 Kenneth Lonergan主演: 卡西·阿弗莱克 Casey Affle...                            2016美国剧情 家庭,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
209,初恋这件小事,8.5,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn  华森·波克彭...                            2010泰国剧情 喜剧 爱情,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
210,人工智能,8.7,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 海利·乔·奥斯蒙 Haley...                            2001美国 英国剧情 科幻,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
211,波西米亚狂想曲,8.6,导演: 布莱恩·辛格 Bryan Singer主演: 拉米·马雷克 Rami Malek  本·哈...                            2018英国 美国剧情 传记 同性 音乐,,https://movie.douban.com/subject/5300054/
212,虎口脱险,8.9,导演: 杰拉尔·乌里 Gérard Oury主演: 路易·德·菲耐斯 Louis de Funès...                            1966法国 英国喜剧 战争,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
213,青蛇,8.6,导演: 徐克 Hark Tsui主演: 张曼玉 Maggie Cheung  王祖贤 Joey Wang  ...                            1993中国香港 中国大陆剧情 爱情 奇幻 古装,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
214,终结者2：审判日,8.8,导演: 詹姆斯·卡梅隆 James Cameron主演: 阿诺·施瓦辛格 Arnold Schwarz...                            1991美国 法国动作 科幻,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
215,罗生门,8.8,导演: 黑泽明 Akira Kurosawa主演: 三船敏郎 Toshirô Mifune  京町子 ...                            1950日本剧情 犯罪 悬疑,人生的N种可能性。,https://movie.douban.com/subject/1291879/
216,疯狂的麦克斯4：狂暴之路,8.7,导演: 乔治·米勒 George Miller主演: 汤姆·哈迪 Tom Hardy  查理兹·塞...                            2015澳大利亚 美国动作 科幻 冒险,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
217,萤火虫之墓,8.7,导演: 高畑勋 Isao Takahata主演: 辰己努  白石绫乃  志乃原良子                            1988日本动画 剧情 战争,幸福是生生不息，却难以触及的远。,https://movie.douban.com/subject/1293318/
218,新龙门客栈,8.7,导演: 李惠民 Raymond Lee主演: 张曼玉 Maggie Cheung  林青霞 Brigitte ...                            1992中国香港 中国大陆动作 爱情 武侠 古装,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
219,千钧一发,8.8,导演: 安德鲁·尼科尔 Andrew Niccol主演: 伊桑·霍克 Ethan Hawke  乌玛...                            1997美国剧情 科幻 惊悚,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
220,崖上的波妞,8.6,导演: 宫崎骏 Hayao Miyazaki主演: 奈良柚莉爱 Yuria Nara  土井洋辉 Hir...                            2008日本动画 奇幻 冒险,,https://movie.douban.com/subject/1959877/
221,无耻混蛋,8.6,导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 布拉德·皮特 Brad Pitt  ...                            2009德国 美国剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
222,末路狂花,8.9,导演: 雷德利·斯科特 Ridley Scott主演: 吉娜·戴维斯 Geena Davis  苏...                            1991美国 英国 法国犯罪 剧情 惊悚,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
223,奇迹男孩,8.6,导演: 斯蒂芬·卓博斯基 Stephen Chbosky主演: 雅各布·特伦布莱 Jacob Tr...                            2017美国 中国香港剧情 儿童 家庭,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
224,彗星来的那一夜,8.6,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit主演: 艾米丽·芭尔多尼 Em...                            2013美国 英国科幻 悬疑 惊悚,小成本大魅力。,https://movie.douban.com/subject/25807345/
225,二十二,8.7,导演: 郭柯 Ke Guo主演:                             2015中国大陆纪录片,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
