ID,电影名称,评分,信息,短评,url
26,末代皇帝,9.3,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci主演: 尊龙 John Lone  陈...                            1987英国 意大利 中国大陆 法国剧情 传记 历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
27,寻梦环游记,9.1,导演: 李·昂克里奇 Lee Unkrich  阿德里安·莫利纳 Adrian Molina主演: ...                            2017美国喜剧 动画 奇幻 音乐,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/
28,活着,9.3,导演: 张艺谋 Yimou Zhang主演: 葛优 You Ge  巩俐 Li Gong  姜武 Wu Jiang                            1994中国大陆 中国香港剧情 历史 家庭,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
29,蝙蝠侠：黑暗骑士,9.2,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 克里斯蒂安·贝尔 Christ...                            2008美国 英国剧情 动作 科幻 犯罪 惊悚,无尽的黑暗。,https://movie.douban.com/subject/1851857/
30,哈利·波特与魔法石,9.2,导演: Chris Columbus主演: Daniel Radcliffe  Emma Watson  Rupert Grint                            2001美国 英国奇幻 冒险,童话世界的开端。,https://movie.douban.com/subject/1295038/
31,指环王3：王者无敌,9.3,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood  西恩...                            2003美国 新西兰剧情 动作 奇幻 冒险,史诗的终章。,https://movie.douban.com/subject/1291552/
32,乱世佳人,9.3,导演: 维克多·弗莱明 Victor Fleming  乔治·库克 George Cukor主演: 费...                            1939美国剧情 历史 爱情 战争,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
33,我不是药神,9.0,导演: 文牧野 Muye Wen主演: 徐峥 Zheng Xu  王传君 Chuanjun Wang  周...                            2018中国大陆剧情 喜剧,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/
34,飞屋环游记,9.1,导演: 彼特·道格特 Pete Docter  鲍勃·彼德森 Bob Peterson主演: 爱德...                            2009美国剧情 喜剧 动画 冒险,最后那些最无聊的事情，才是最值得怀念的。,https://movie.douban.com/subject/2129039/
35,素媛,9.3,导演: 李濬益 Jun-ik Lee主演: 薛景求 Kyung-gu Sol  严志媛 Ji-won Uhm ...                            2013韩国剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
36,哈尔的移动城堡,9.1,导演: 宫崎骏 Hayao Miyazaki主演: 倍赏千惠子 Chieko Baishô  木村拓...                            2004日本动画 奇幻 冒险,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
37,十二怒汉,9.4,导演: Sidney Lumet主演: 亨利·方达 Henry Fonda  马丁·鲍尔萨姆 Marti...                            1957美国剧情,1957年的理想主义。,https://movie.douban.com/subject/1293182/
38,何以为家,9.1,导演: 娜丁·拉巴基 Nadine Labaki主演: 扎因·拉费阿 Zain al-Rafeea  ...                            2018黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国剧情,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/
39,摔跤吧！爸爸,9.0,导演: 涅提·蒂瓦里 Nitesh Tiwari主演: 阿米尔·汗 Aamir Khan  法缇玛...                            2016印度剧情 传记 运动 家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
40,让子弹飞,9.0,导演: 姜文 Wen Jiang主演: 姜文 Wen Jiang  葛优 You Ge  周润发 Yun-F...                            2010中国大陆 中国香港剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
41,鬼子来了,9.3,导演: 姜文 Wen Jiang主演: 姜文 Wen Jiang  香川照之 Teruyuki Kagawa ...                            2000中国大陆剧情 喜剧,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
42,猫鼠游戏,9.1,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 莱昂纳多·迪卡普里奥 L...                            2002美国 加拿大传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。,https://movie.douban.com/subject/1305487/
43,少年派的奇幻漂流,9.1,导演: 李安 Ang Lee主演: 苏拉·沙玛 Suraj Sharma  伊尔凡·可汗 Irrfan...                            2012美国 中国台湾 英国 加拿大剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
44,天空之城,9.2,导演: 宫崎骏 Hayao Miyazaki主演: 田中真弓 Mayumi Tanaka  横泽启子 Ke...                            1986日本动画 奇幻 冒险,对天空的追逐，永不停止。,https://movie.douban.com/subject/1291583/
45,海蒂和爷爷,9.3,导演: 阿兰·葛斯彭纳 Alain Gsponer主演: 阿努克·斯特芬 Anuk Steffen ...                            2015德国 瑞士剧情 冒险 家庭,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
46,钢琴家,9.3,导演: 罗曼·波兰斯基 Roman Polanski主演: 艾德里安·布洛迪 Adrien Brod...                            2002英国 法国 波兰 德国剧情 传记 战争 音乐,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
47,大话西游之月光宝盒,9.0,导演: 刘镇伟 Jeffrey Lau主演: 周星驰 Stephen Chow  吴孟达 Man Tat Ng...                            1995中国香港 中国大陆喜剧 爱情 奇幻 古装,旷古烁今。,https://movie.douban.com/subject/1299398/
48,指环王2：双塔奇兵,9.2,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood  西恩...                            2002美国 新西兰剧情 动作 奇幻 冒险,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
49,闻香识女人,9.1,导演: 马丁·布莱斯 Martin Brest主演: 阿尔·帕西诺 Al Pacino  克里斯...                            1992美国剧情,史上最美的探戈。,https://movie.douban.com/subject/1298624/
